"Owner.Sales.Role.Region","Is.Deal.Registration","Billing.Country","Cloud.Data.Platform","Cloud.Provider","Stage","Opportunity.Record.Type","Plan.Type","Lead.Source","Opportunity.ARR","Amount..ACV..Currency","Amount..ACV.","Created.Date","Close.Date","Age","Days.in.Free.Trial","Days.in.Current.Stage","Free.Trial.","Trial.End.Date","Loss.Reason","Opportunity.Source","year"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Synapse Opportunity","","Sales Prospecting",NA,"USD",35000,"6/4/2021","10/16/2021",134,NA,101,0,"","Unable to contact","Sales","2021"
"EAE - NA Central",0,"United States","","","8 - Closed Won","Consultancy Opportunity","Contract","Paid",NA,"USD",6600,"11/23/2021","11/30/2021",7,NA,101,0,"","","Sales","2021"
"EAE - NA Central",0,"Canada","Snowflake","AWS","7 - Closed Lost","New Logo","","Paid",NA,"USD",37000,"1/18/2022","5/2/2022",104,NA,17,0,"","Duplicate","Inbound SDR/Marketing","2022"
"EAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Event",NA,"USD",28000,"9/17/2021","5/31/2022",244,NA,101,0,"","","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",1000,"5/18/2021","12/21/2022",366,NA,101,0,"","","Sales","2021"
"EAE - NA East",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"",NA,"11/23/2021","12/15/2021",22,NA,101,0,"","Budget","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","Contract","Organic",NA,"USD",10000,"2/8/2022","9/30/2022",100,NA,45,0,"","","Inbound SDR/Marketing","2022"
"CAE - RoW",1,"Denmark","Other","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"5/19/2021","7/1/2021",43,NA,101,0,"","Change in Project Scope","Partner","2021"
"CAE - NA Southeast",1,"Chile","Redshift","","8 - Closed Won","Redshift Opportunity","PayGo","Consulting Partner",0,"USD",10000,"7/29/2021","9/30/2021",63,22,101,1,"8/23/2021","","Partner","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"USD",25000,"11/24/2021","1/12/2022",49,NA,101,0,"","Lost Champion","Inbound SDR/Marketing","2021"
"EAE - RoW UK",0,"United Kingdom","Synapse","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",50000,"1/11/2022","12/31/2022",128,NA,101,0,"","","Outbound SDR","2022"
"EAE - NA Central",1,"United States","Other","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"USD",23000,"5/19/2021","1/7/2022",233,NA,101,0,"","Duplicate","Inbound SDR/Marketing","2021"
"",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/8/2021","10/29/2021",82,NA,101,0,"","Staying with Incumbent Solution","Partner","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Event",NA,"USD",23000,"10/29/2021","1/7/2022",70,NA,101,0,"","Timing","Outbound SDR","2021"
"EAE - NA Central",0,"United States","Synapse","","1 - Identified","New Logo","","Sales Prospecting",NA,"",NA,"1/20/2022","7/20/2022",119,NA,101,0,"","","Outbound SDR","2022"
"CAE - RoW",0,"United Kingdom","Redshift","","7 - Closed Lost","Redshift Opportunity","","Organic",NA,"",NA,"5/11/2021","9/30/2021",142,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"CAM - NA",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"USD",35000,"5/27/2021","9/21/2021",117,NA,101,0,"","Timing","Partner","2021"
"",0,"United States","","","1 - Identified","Demo/Test License","","Tech Partner",NA,"USD",0,"11/9/2021","11/9/2022",191,NA,101,1,"5/4/2023","","Sales","2021"
"CAE - NA Southeast",0,"United States","Databricks","","7 - Closed Lost","New Logo","","Organic",NA,"",NA,"1/18/2022","2/8/2022",21,NA,100,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2022"
"EAE - NA West",0,"United States","Snowflake","AWS","1 - Identified","New Logo","Contract","Sales Prospecting",NA,"USD",30000,"10/8/2021","10/31/2022",223,NA,101,0,"","","Outbound SDR","2021"
"EAE - NA East",1,"United States","Snowflake","AWS","1 - Identified","Expansion","","Consulting Partner",NA,"",NA,"9/23/2021","6/30/2022",238,NA,101,0,"","","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","","1 - Identified","Convert to Contract","PayGo","Organic",NA,"USD",10000,"4/19/2022","12/30/2022",30,NA,NA,0,"","","","2022"
"CAE - NA Northwest",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Organic",NA,"USD",10000,"1/24/2022","3/15/2022",50,NA,65,0,"","Org Structure Changes","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Sales Prospecting",NA,"USD",92500,"5/7/2021","5/7/2021",0,0,101,0,"","","Sales","2021"
"EAE - RoW EMEA/APAC",1,"New Zealand","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",50000,"12/8/2021","2/15/2022",69,NA,94,0,"","Change in Project Scope","Partner","2021"
"CAE - NA Southeast",1,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","","Organic",NA,"USD",5000,"2/4/2022","4/20/2022",75,NA,29,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","","Paid",NA,"USD",30000,"5/19/2021","4/25/2022",341,NA,24,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"CAE - NA Northeast",0,"United States","Redshift","","7 - Closed Lost","New Logo","","Organic",NA,"USD",10000,"12/7/2021","3/1/2022",84,NA,79,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Snowflake","Azure","4 - Economic Buyer Approved","New Logo","Contract","Consulting Partner",NA,"USD",21000,"1/7/2022","5/23/2022",132,NA,91,0,"","","Partner","2022"
"EAE - NA East",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Consulting Partner",256808,"USD",162060,"7/26/2021","12/23/2021",150,NA,101,1,"12/23/2021","","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Norway","","","7 - Closed Lost","Snowflake on GCP Opportunity","","Sales Prospecting",NA,"",NA,"10/14/2021","12/22/2021",69,NA,101,0,"","Staying with Incumbent Solution","Sales","2021"
"EAE - NA Central",0,"Canada","","","7 - Closed Lost","BigQuery Opportunity","Contract","Paid",NA,"",NA,"10/25/2021","11/5/2021",11,NA,101,0,"","Org Structure Changes","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Consulting Partner",NA,"",NA,"1/27/2021","6/1/2021",125,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Netherlands","Snowflake","","8 - Closed Won","Consultancy Opportunity","Contract","Consulting Partner",NA,"USD",10000,"6/2/2021","6/23/2021",21,NA,101,0,"","","Sales","2021"
"EAE - RoW UK",0,"India","Synapse","","7 - Closed Lost","New Logo","","Event",NA,"",NA,"11/12/2021","3/29/2022",137,NA,51,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Paid",NA,"",NA,"1/31/2022","8/18/2022",108,NA,101,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA Central",1,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",50000,"8/30/2021","5/25/2022",262,NA,101,0,"","","Outbound SDR","2021"
"EAE - NA East",0,"United States","Databricks","","7 - Closed Lost","Synapse Opportunity","","Sales Prospecting",NA,"",NA,"10/19/2021","11/5/2021",17,NA,101,0,"","Lost Champion","Outbound SDR","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","Convert to Contract","Contract","Sales Prospecting",NA,"USD",35000,"2/2/2022","2/24/2022",22,NA,84,0,"","Budget","Sales","2022"
"EAE - RoW EMEA/APAC",0,"Australia","Snowflake","AWS","7 - Closed Lost","New Logo","","Paid",NA,"USD",20000,"9/22/2021","3/31/2022",190,NA,49,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - RoW UK",1,"United Kingdom","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",40000,"8/3/2021","4/22/2022",262,NA,27,0,"","Unable to contact","Partner","2021"
"CAE - RoW",1,"Italy","Snowflake","Azure","8 - Closed Won","New Logo","Contract","Consulting Partner",8663,"USD",8663.1,"11/24/2021","3/8/2022",104,NA,72,1,"3/8/2022","","Partner","2021"
"Other",0,"Portugal","Snowflake","AWS","1 - Identified","Demo/Test License","","Consulting Partner",NA,"",NA,"2/4/2022","12/12/2022",104,NA,88,0,"","","Partner","2022"
"CAE - RoW",1,"Sweden","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Consulting Partner",6996,"USD",10000,"9/22/2021","9/28/2021",6,NA,101,1,"11/19/2018","","Partner","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"1/28/2022","6/30/2022",111,NA,101,0,"","","Outbound SDR","2022"
"EAE - RoW UK",0,"United Kingdom","Redshift","","7 - Closed Lost","New Logo","Contract","Sales Prospecting",NA,"USD",40000,"9/24/2021","3/10/2022",167,NA,70,1,"2/25/2022","Change in Project Scope","Sales","2021"
"EAE - NA West",0,"United States","Redshift","AWS","8 - Closed Won","Expansion","PayGo","Sales Prospecting",NA,"USD",10000,"8/31/2021","2/7/2022",160,NA,101,1,"10/8/2021","","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Snowflake","","8 - Closed Won","New Logo","PayGo","Consulting Partner",14361,"USD",55000,"12/2/2021","4/15/2022",134,NA,34,1,"2/15/2022","","Partner","2021"
"CAE - NA Southeast",1,"United States","Evaluating CDP","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",20000,"1/31/2022","4/12/2022",71,NA,37,0,"","Change in Project Scope","Partner","2022"
"EAE - RoW EMEA/APAC",0,"Australia","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"5/18/2021","5/19/2021",1,NA,101,0,"","Lost to Competitor","Sales","2021"
"EAE - RoW EMEA/APAC",0,"France","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"5/17/2021","12/30/2022",367,NA,101,0,"","","Sales","2021"
"EAE - NA East",0,"United States","Databricks","","1 - Identified","New Logo","","Organic",NA,"USD",30000,"12/10/2021","7/22/2022",160,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - NA Central",1,"United States","Synapse","Azure","1 - Identified","New Logo","","Consulting Partner",NA,"USD",23000,"2/1/2022","5/30/2022",107,NA,101,0,"","","Partner","2022"
"Other",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"USD",10000,"1/20/2021","4/12/2021",82,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - RoW",1,"United Kingdom","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/13/2021","10/20/2021",68,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - NA Central",0,"United States","Snowflake","Azure","7 - Closed Lost","Expansion","","Sales Prospecting",NA,"USD",29500,"12/22/2021","4/13/2022",112,NA,36,0,"","Duplicate","Outbound SDR","2021"
"CAE - NA Northwest",0,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","","Event",NA,"",NA,"1/28/2022","2/11/2022",14,NA,97,0,"","Timing","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","Redshift","","7 - Closed Lost","Redshift Opportunity","","Paid",NA,"USD",23000,"2/1/2021","11/9/2021",281,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"CAE - RoW",1,"United Kingdom","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/13/2021","12/16/2021",125,NA,101,0,"","Timing","Partner","2021"
"EAE - NA Central",0,"Canada","Evaluating CDP","","7 - Closed Lost","New Logo","","Paid",NA,"USD",23000,"2/8/2022","5/4/2022",85,NA,15,0,"","Missing Features","Inbound SDR/Marketing","2022"
"EAE - NA West",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"5/27/2021","8/11/2021",76,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"9/13/2021","9/14/2021",1,NA,101,0,"","Unable to contact","Outbound SDR","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",30000,"12/13/2021","1/28/2022",46,NA,101,0,"","Unable to contact","Outbound SDR","2021"
"Other",0,"Germany","Snowflake","AWS","1 - Identified","Demo/Test License","","Consulting Partner",NA,"",NA,"1/20/2022","12/13/2022",119,NA,88,0,"","","Partner","2022"
"CAE - North America",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Organic",0,"USD",30500,"1/12/2021","6/15/2021",154,94,101,1,"4/8/2021","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Redshift","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"8/25/2021","10/4/2021",40,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","Azure","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",30000,"11/9/2021","4/21/2022",163,NA,28,0,"","Unable to contact","Partner","2021"
"CAE - RoW",0,"United Kingdom","BigQuery","GCP","8 - Closed Won","BigQuery Opportunity","PayGo","Sales Prospecting",7502,"USD",10000,"1/24/2022","1/24/2022",0,NA,101,1,"6/9/2021","","Sales","2022"
"EAE - NA West",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Consulting Partner",31113,"USD",21113.04,"8/9/2021","1/26/2022",170,NA,101,1,"1/24/2022","","Partner","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","Convert to Contract","Contract","Sales Prospecting",NA,"USD",30000,"11/2/2021","3/16/2022",134,NA,64,0,"","Timing","Sales","2021"
"CAE - NA Southeast",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",10000,"1/21/2022","3/16/2022",54,NA,64,0,"","Timing","Sales","2022"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",35000,"9/27/2021","12/15/2021",79,NA,101,0,"","Timing","Outbound SDR","2021"
"EAE - NA Central",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Consulting Partner",NA,"USD",440820,"9/9/2021","12/6/2021",88,NA,101,0,"","","Partner","2021"
"CAE - NA Northwest",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Techno-company Data Loader",NA,"",NA,"12/9/2021","12/23/2021",14,NA,101,0,"","Duplicate","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","Azure","1 - Identified","New Logo","","Consulting Partner",NA,"USD",30000,"2/8/2022","10/31/2022",100,NA,NA,0,"","","Partner","2022"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","1 - Identified","Expansion","","Sales Prospecting",NA,"USD",50000,"9/20/2021","1/31/2023",241,NA,101,0,"","","Sales","2021"
"CAM - NA",1,"United States","Snowflake","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Consulting Partner",18886,"USD",30500,"5/26/2021","7/21/2021",56,53,101,1,"7/9/2021","","Partner","2021"
"EAE - NA Central",0,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","","Techno-company Data Loader",NA,"USD",10000,"11/11/2021","4/22/2022",162,NA,27,0,"","Duplicate","Outbound SDR","2021"
"EAE - NA East",0,"United States","Snowflake","AWS","8 - Closed Won","Renewal + Expansion","Contract","Sales Prospecting",NA,"USD",1528,"2/8/2022","2/17/2022",9,NA,86,0,"","","Sales","2022"
"CAE - RoW",0,"United Kingdom","","","8 - Closed Won","Redshift Opportunity","PayGo","Sales Prospecting",0,"",NA,"1/12/2021","3/31/2021",78,NA,101,1,"1/23/2021","","Sales","2021"
"CAE - NA Southeast",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"",NA,"5/19/2021","7/27/2021",69,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"10/25/2021","1/6/2022",73,NA,101,0,"","Budget","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"France","Redshift","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"1/18/2021","6/11/2021",144,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
"CAE - RoW",0,"","Redshift","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"USD",27000,"9/8/2021","11/30/2021",83,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"CAE - NA Northwest",1,"United States","Evaluating CDP","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"",NA,"12/17/2021","2/11/2022",56,NA,97,0,"","Unable to contact","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Denmark","Snowflake","Azure","7 - Closed Lost","Expansion","","Sales Prospecting",NA,"USD",30000,"1/17/2022","2/22/2022",36,NA,86,0,"","Duplicate","Sales","2022"
"CAE - North America",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Consulting Partner",NA,"USD",10000,"5/18/2021","6/18/2021",31,NA,101,0,"","Change in Project Scope","Partner","2021"
"",0,"France","","","7 - Closed Lost","Reseller Opportunity","","Sales Prospecting",NA,"USD",1e+05,"5/19/2021","12/13/2021",208,NA,101,0,"","Change in Project Scope","Sales","2021"
"Other",0,"","","","7 - Closed Lost","BigQuery Opportunity","","Organic",NA,"USD",15000,"11/9/2021","11/30/2021",21,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","Contract","Techno-company Data Loader",NA,"USD",53000,"1/25/2022","5/10/2022",105,NA,9,0,"","Timing","Inbound SDR/Marketing","2022"
"CAE - RoW",0,"Israel","","","7 - Closed Lost","New Logo","","Website",NA,"USD",10000,"9/29/2021","2/8/2022",132,NA,100,0,"","Unable to contact","Sales","2021"
"",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"9/28/2021","11/2/2021",35,NA,101,0,"","Staying with Incumbent Solution","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Germany","Redshift","AWS","1 - Identified","New Logo","","Organic",NA,"USD",25000,"11/15/2021","11/30/2022",185,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"Netherlands","","","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"2/9/2022","6/30/2022",99,NA,NA,0,"","","Sales","2022"
"EAE - NA Central",0,"Canada","","","7 - Closed Lost","Synapse Opportunity","","Paid",NA,"",NA,"10/4/2021","10/12/2021",8,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"United Kingdom","","","7 - Closed Lost","BigQuery Opportunity","","Sales Prospecting",NA,"",NA,"5/26/2021","5/26/2021",0,NA,101,0,"","Duplicate","Sales","2021"
"EAE - NA Central",0,"United States","Snowflake","Azure","2 - Trial","New Logo","PayGo","Drift",NA,"USD",41000,"11/24/2021","7/18/2022",176,NA,99,1,"4/22/2022","","Inbound SDR/Marketing","2021"
"CAE - NA Southeast",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Drift",NA,"USD",5000,"1/19/2022","5/31/2022",120,NA,101,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA East",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Sales Prospecting",9034,"USD",20000,"10/7/2021","11/13/2021",37,NA,101,0,"","","Sales","2021"
"CAE - RoW",0,"Australia","","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Organic",1049,"USD",10000,"9/21/2021","9/30/2021",9,NA,101,1,"10/12/2021","","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","1 - Identified","New Logo","Contract","Paid",NA,"USD",30000,"11/8/2021","7/22/2022",192,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",35000,"1/25/2022","4/15/2022",80,NA,34,0,"","Timing","Outbound SDR","2022"
"EAE - NA East",0,"United States","","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Event",NA,"USD",163153,"10/7/2021","12/22/2021",76,NA,101,0,"","","Sales","2021"
"CAE - NA Central",1,"United States","Snowflake","","8 - Closed Won","Snowflake on GCP Opportunity","PayGo","Consulting Partner",539,"",NA,"5/26/2021","8/31/2021",97,NA,101,1,"5/29/2021","","Partner","2021"
"EAE - NA Central",0,"Canada","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"",NA,"10/28/2021","11/5/2021",8,NA,101,0,"","Staying with Incumbent Solution","Outbound SDR","2021"
"Other",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Event",NA,"",NA,"2/25/2022","4/6/2022",40,NA,43,0,"","Timing","Inbound SDR/Marketing","2022"
"Other",0,"Peru","","","8 - Closed Won","Snowflake on GCP Opportunity","PayGo","Sales Prospecting",NA,"",NA,"7/22/2021","7/19/2021",0,NA,101,0,"","","Sales","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"9/30/2021","1/10/2022",102,NA,101,0,"","Staying with Incumbent Solution","Outbound SDR","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","BigQuery Opportunity","","Drift",NA,"",NA,"11/10/2021","11/22/2021",12,NA,101,0,"","Duplicate","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Synapse","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"2/4/2022","2/11/2022",7,NA,97,0,"","Staying with Incumbent Solution","Outbound SDR","2022"
"EAE - NA West",1,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Event",NA,"USD",23000,"1/28/2021","6/28/2021",151,NA,101,0,"","Lost to Competitor","Sales","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Databricks Opportunity","","Sales Prospecting",NA,"USD",23000,"10/1/2021","1/18/2022",109,NA,101,0,"","Org Structure Changes","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"Germany","Databricks","Azure","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",25000,"4/28/2022","10/31/2022",21,NA,NA,1,"5/19/2022","","Sales","2022"
"EAE - RoW EMEA/APAC",0,"Singapore","Snowflake","Azure","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",1000,"1/18/2022","12/28/2022",121,NA,101,0,"","","Sales","2022"
"",0,"United States","","","7 - Closed Lost","Databricks Opportunity","","Drift",NA,"",NA,"9/22/2021","10/15/2021",23,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"EAE - RoW UK",0,"United Kingdom","Evaluating CDP","","7 - Closed Lost","Databricks Opportunity","","Referral",NA,"",NA,"12/13/2021","2/3/2022",52,NA,101,0,"","Staying with Incumbent Solution","Outbound SDR","2021"
"EAE - NA Central",0,"Canada","Databricks","","1 - Identified","New Logo","","Paid",NA,"USD",47000,"2/10/2022","9/26/2022",98,NA,71,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","Azure","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",60000,"1/18/2021","4/21/2022",458,NA,28,0,"","Change in Project Scope","Sales","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"10/5/2021","10/29/2021",24,NA,101,0,"","Duplicate","Partner","2021"
"EAE - NA Central",0,"Canada","Databricks","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",53000,"12/15/2021","3/17/2022",92,NA,63,0,"","Timing","Outbound SDR","2021"
"EAE - NA Central",0,"United States","Databricks","Databricks","1 - Identified","New Logo","","Paid",NA,"USD",20000,"1/18/2022","1/31/2023",121,NA,101,0,"","","Inbound SDR/Marketing","2022"
"EAE - RoW EMEA/APAC",0,"Belgium","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"5/16/2021","6/15/2021",30,NA,101,0,"","Unable to contact","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"Denmark","BigQuery","","7 - Closed Lost","BigQuery Opportunity","","Website",NA,"",NA,"11/1/2021","11/25/2021",24,NA,101,0,"","Budget","Sales","2021"
"CAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","PayGo","Organic",NA,"USD",10000,"1/24/2022","5/31/2022",115,NA,101,0,"","","Inbound SDR/Marketing","2022"
"CAE - NA Central",0,"United States","Databricks","","7 - Closed Lost","Synapse Opportunity","","Organic",NA,"USD",30500,"5/26/2021","10/12/2021",139,NA,101,1,"7/22/2021","Timing","Inbound SDR/Marketing","2021"
"Other",0,"Germany","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"4/28/2022","5/16/2022",18,NA,3,0,"","Unable to contact","Outbound SDR","2022"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Expansion","","Paid",NA,"USD",30000,"2/10/2022","5/16/2022",95,NA,3,0,"","Change in Project Scope","Sales","2022"
"CAE - North America",0,"United States","","","7 - Closed Lost","BigQuery Opportunity","","Techno-company Data Loader",NA,"USD",15700,"1/5/2021","4/23/2021",108,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",35000,"9/9/2021","1/31/2022",144,NA,101,0,"","Change in Project Scope","Sales","2021"
"CAE - NA Northwest",0,"United States","BigQuery","","8 - Closed Won","BigQuery Opportunity","PayGo","Sales Prospecting",13080,"USD",10000,"11/19/2021","12/17/2021",28,14,101,1,"12/13/2021","","Sales","2021"
"Other",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/17/2022","3/30/2022",41,NA,50,0,"","Unable to contact","Outbound SDR","2022"
"EAE - NA West",0,"United States","Databricks","","7 - Closed Lost","Expansion","Contract","Sales Prospecting",NA,"USD",30000,"5/6/2021","4/20/2022",349,NA,29,0,"","Timing","Sales","2021"
"EAE - RoW UK",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Drift",NA,"USD",25000,"8/26/2021","1/10/2022",137,102,101,1,"10/26/2021","Lost to Competitor","Inbound SDR/Marketing","2021"
